order,id,date,time,title,url,visitCount,typedCount,transition
105,2177,6/6/2025,14:51:19,нова пошта трекінг - Google Search,https://www.google.com/search?q=%D0%BD%D0%BE%D0%B2%D0%B0+%D0%BF%D0%BE%D1%88%D1%82%D0%B0+%D1%82%D1%80%D0%B5%D0%BA%D1%96%D0%BD%D0%B3&oq=%D0%BD%D0%BE%D0%B2%D0%B0&gs_lcrp=EgZjaHJvbWUqDAgBECMYJxiABBiKBTIGCAAQRRg5MgwIARAjGCcYgAQYigUyEAgCEC4YxwEY0QMYgAQYrwYyCggDEAAYgAQYrwYyCggEEAAYgAQYrwYyBwgFEC4YgAQyCggGEAAYgAQYrwYyCggHEAAYgAQYrwYyCggIEAAYgAQYrwYyCggJEC4YgAQYrwbSAQgyNjc3ajBqN6gCALACAA&sourceid=chrome&ie=UTF-8,1,0,generated
106,2176,6/6/2025,14:32:09,UCU-Kafka-bokhan-lesson-1-2023-publ,file:///C:/Users/Admin/Downloads/UCU-data-streaning-2023-lesson-1.pdf,1,0,link
107,2175,6/6/2025,14:31:54,🎓Data Streaming with Kafka — Школа цілісного розвитку УКУ,https://study.ucu.edu.ua/course/data-streaming-with-kafka/lesson/lecture-matherials,1,0,link
108,69,6/6/2025,13:01:52,NV | nv.ua | Радіо NV | Новини України | Аналітика | Відео | НВ |,https://web.telegram.org/a/#-1001081358729,57,0,link
109,122,6/6/2025,13:01:33,NEXTA Live,https://web.telegram.org/a/#-1001413275904,37,0,link
110,196,6/6/2025,12:59:45,БУТУСОВ ПЛЮС,https://web.telegram.org/a/#-1001595772204,28,0,link
111,2174,6/6/2025,12:41:37,"version: '3' services: zookeeper: image: wurstmeister/zookeeper ports: - ""2181:2181"" kafka1: image: wurstmeister/kafka ports: - ""9092:9092"" environment: KAFKA_BROKER_ID: 1 KAFKA_ZOOKEEPER_CONNECT: zookeeper:2181 KAFKA_LISTENERS: PLAINTEXT://0.0.0.0:9092 KAFKA_ADVERTISED_LISTENERS: PLAINTEXT://localhost:9092 KAFKA_LISTENER_SECURITY_PROTOCOL_MAP: PLAINTEXT:PLAINTEXT KAFKA_INTER_BROKER_LISTENER_NAME: PLAINTEXT depends_on: - zookeeper kafka2: image: wurstmeister/kafka ports: - ""9093:9093"" environment: KAFKA_BROKER_ID: 2 KAFKA_ZOOKEEPER_CONNECT: zookeeper:2181 KAFKA_LISTENERS: PLAINTEXT://0.0.0.0:9092 KAFKA_ADVERTISED_LISTENERS: PLAINTEXT://localhost:9093 KAFKA_LISTENER_SECURITY_PROTOCOL_MAP: PLAINTEXT:PLAINTEXT KAFKA_INTER_BROKER_LISTENER_NAME: PLAINTEXT depends_on: - zookeeper kafka3: image: wurstmeister/kafka ports: - ""9094:9094"" environment: KAFKA_BROKER_ID: 3 KAFKA_ZOOKEEPER_CONNECT: zookeeper:2181 KAFKA_LISTENERS: PLAINTEXT://0.0.0.0:9092 KAFKA_ADVERTISED_LISTENERS: PLAINTEXT://localhost:9094 KAFKA_LISTENER_SECURITY_PROTOCOL_MAP: PLAINTEXT:PLAINTEXT KAFKA_INTER_BROKER_LISTENER_NAME: PLAINTEXT depends_on: - zookeeper - Google Docs",https://docs.google.com/document/d/1JYjdNGbs-wFK1K8TaimGILkZ8OQ-G4heBXGuL4XfBbQ/edit?tab=t.0,1,0,link
112,261,6/6/2025,12:41:36,Untitled document - Google Docs,https://docs.google.com/document/u/0/create?usp=docs_web,3,0,link
113,2173,6/6/2025,12:40:59,БУТУСОВ ПЛЮС,https://web.telegram.org/a/#-1001298057474,2,0,link
114,2173,6/6/2025,12:40:48,БУТУСОВ ПЛЮС,https://web.telegram.org/a/#-1001298057474,2,0,link
115,70,6/6/2025,12:26:52,✙ 🔼Вертикаль,https://web.telegram.org/a/#-1001234886121,31,0,link
116,122,6/6/2025,12:25:53,NEXTA Live,https://web.telegram.org/a/#-1001413275904,37,0,link
117,69,6/6/2025,12:24:39,NV | nv.ua | Радіо NV | Новини України | Аналітика | Відео | НВ |,https://web.telegram.org/a/#-1001081358729,57,0,link
118,69,6/6/2025,12:24:19,NV | nv.ua | Радіо NV | Новини України | Аналітика | Відео | НВ |,https://web.telegram.org/a/#-1001081358729,57,0,link
119,42,6/6/2025,12:24:19,Telegram,https://web.telegram.org/a/,28,4,link
120,69,6/6/2025,12:24:18,NV | nv.ua | Радіо NV | Новини України | Аналітика | Відео | НВ |,https://web.telegram.org/a/#-1001081358729,57,0,link
121,69,6/6/2025,12:23:30,NV | nv.ua | Радіо NV | Новини України | Аналітика | Відео | НВ |,https://web.telegram.org/a/#-1001081358729,57,0,link
122,2169,6/6/2025,10:12:51,Synthesis Tutor,https://tutor.synthesis.com/account/billing,1,0,reload
123,2170,6/6/2025,10:11:42,Synthesis Tutor,https://tutor.synthesis.com/,2,0,link
124,2171,6/6/2025,10:11:16,Synthesis Tutor,https://tutor.synthesis.com/login,1,0,link
125,2170,6/6/2025,10:11:14,Synthesis Tutor,https://tutor.synthesis.com/,2,0,link
126,2151,6/6/2025,10:11:13,Вакансії в defence tech - ДЕФЕНДЕР,https://thedefender.media/uk/categories/sections/defence-tech-jobs/,2,0,link
